2021-03-07 02:16:14:1614 info: Insecure API listening on port 3001
2021-03-07 02:16:51:1651 info: Insecure API listening on port 3001
2021-03-07 02:17:01:171 info: Insecure API listening on port 3001
2021-03-07 02:17:35:1735 info: Updating static catalog
2021-03-07 02:17:36:1736 info: Insecure API listening on port 3001
2021-03-07 02:17:45:1745 info: Updating static catalog
2021-03-07 02:17:45:1745 info: Catalog for 200903 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201001 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201002 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201003 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201101 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201102 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201103 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201201 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201202 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201203 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201301 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201302 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201303 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201401 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201402 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201403 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201501 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201502 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201503 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201601 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201602 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201603 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201701 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201702 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201703 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201801 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201802 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201803 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201901 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201902 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 201903 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 202001 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 202002 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 202003 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 202101 exists, skipping
2021-03-07 02:17:45:1745 info: Catalog for 202102 exists, skipping
2021-03-07 02:17:45:1745 info: Insecure API listening on port 3001
2021-03-07 02:17:55:1755 info: Updating static catalog
2021-03-07 02:17:55:1755 info: Fetched 36 seasons
2021-03-07 02:17:55:1755 info: Catalog for 200903 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201001 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201002 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201003 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201101 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201102 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201103 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201201 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201202 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201203 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201301 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201302 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201303 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201401 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201402 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201403 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201501 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201502 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201503 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201601 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201602 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201603 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201701 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201702 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201703 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201801 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201802 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201803 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201901 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201902 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 201903 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 202001 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 202002 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 202003 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 202101 exists, skipping
2021-03-07 02:17:55:1755 info: Catalog for 202102 exists, skipping
2021-03-07 02:17:55:1755 info: Insecure API listening on port 3001
2021-03-07 02:18:56:1856 info: Updating static catalog
2021-03-07 02:18:56:1856 info: Fetched 36 seasons
2021-03-07 02:18:56:1856 info: Catalog for 200903 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201001 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201002 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201003 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201101 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201102 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201103 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201201 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201202 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201203 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201301 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201302 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201303 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201401 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201402 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201403 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201501 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201502 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201503 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201601 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201602 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201603 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201701 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201702 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201703 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201801 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201802 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201803 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201901 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201902 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 201903 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 202001 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 202002 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 202003 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 202101 exists, skipping
2021-03-07 02:18:56:1856 info: Catalog for 202102 exists, skipping
2021-03-07 02:18:56:1856 info: Insecure API listening on port 3001
2021-03-07 02:19:17:1917 info: Updating static catalog
2021-03-07 02:19:17:1917 info: Fetched 36 seasons
2021-03-07 02:19:17:1917 info: Catalog for 200903 exists, skipping
2021-03-07 02:19:17:1917 info: Catalog for 201001 exists, skipping
2021-03-07 02:19:17:1917 info: Catalog for 201002 exists, skipping
2021-03-07 02:19:17:1917 info: Catalog for 201003 exists, skipping
2021-03-07 02:19:17:1917 info: Catalog for 201101 exists, skipping
2021-03-07 02:19:17:1917 info: Catalog for 201102 exists, skipping
2021-03-07 02:19:17:1917 info: Catalog for 201103 exists, skipping
2021-03-07 02:19:17:1917 info: Catalog for 201201 exists, skipping
2021-03-07 02:19:17:1917 info: Catalog for 201202 exists, skipping
2021-03-07 02:19:17:1917 info: Catalog for 201203 exists, skipping
2021-03-07 02:19:17:1917 info: Catalog for 201301 exists, skipping
